rank,accuracy,n_mfcc,n_fft,win_len,hop_len,n_mels,delta,delta2,gmm_comp,gmm_cov
524,87.50,13,1024,512,200,32,False,False,8,tied
525,87.50,13,1024,512,200,32,False,False,12,tied
526,87.50,16,512,400,160,26,False,False,12,tied
527,87.50,16,512,400,160,26,True,False,12,diag
528,87.50,16,512,400,160,26,True,True,12,diag
529,87.50,16,512,400,160,26,True,True,8,tied
530,87.50,16,512,400,160,26,True,True,12,tied
531,87.50,16,512,400,160,32,True,False,12,diag
532,87.50,16,512,400,200,26,False,False,4,tied
533,87.50,16,512,400,200,26,False,False,12,tied
534,87.50,16,512,400,200,32,False,False,4,tied
535,87.50,16,512,400,200,32,True,False,12,diag
536,87.50,16,512,400,200,32,True,False,8,diag
537,87.50,16,512,512,160,26,False,False,4,tied
538,87.50,16,512,512,160,26,False,False,8,tied
539,87.50,16,512,512,160,26,False,False,12,tied
540,87.50,16,512,512,160,26,True,False,8,diag
